YYYYMMDD, C072, G072,Pday_mm
20030331,-9999,0,0
20030401,-9999,0,0
20030402,-9999,165,16.5
20030403,-9999,41,4.1
20030404,-9999,0,0
20030405,-9999,0,0
20030406,-9999,0,0
20030407,-9999,0,0
20030408,-9999,0,0
20030409,-9999,44,4.4
20030410,-9999,5,0.5
20030411,-9999,40,4
20030412,-9999,1,0.1
20030413,-9999,3,0.3
20030414,-9999,5,0.5
20030415,-9999,0,0
20030416,-9999,0,0
20030417,-9999,0,0
20030418,-9999,5,0.5
20030419,-9999,70,7
20030420,-9999,22,2.2
20030421,-9999,1,0.1
20030422,-9999,0,0
20030423,-9999,0,0
20030424,-9999,0,0
20030425,-9999,4,0.4
20030426,-9999,6,0.6
20030427,-9999,0,0
20030428,-9999,2,0.2
20030429,-9999,0,0
20030430,-9999,4,0.4
20030501,-9999,0,0
20030502,-9999,0,0
20030503,-9999,0,0
20030504,-9999,99,9.9
20030505,-9999,146,14.6
20030506,-9999,70,7
20030507,-9999,495,49.5
20030508,-9999,2,0.2
20030509,-9999,11,1.1
20030510,-9999,1,0.1
20030511,-9999,0,0
20030512,-9999,0,0
20030513,-9999,17,1.7
20030514,-9999,0,0
20030515,-9999,0,0
20030516,-9999,4,0.4
20030517,-9999,0,0
20030518,-9999,0,0
20030519,-9999,3,0.3
20030520,-9999,0,0
20030521,-9999,0,0
20030522,-9999,0,0
20030523,-9999,0,0
20030524,-9999,38,3.8
20030525,-9999,101,10.1
20030526,-9999,19,1.9
20030527,-9999,1,0.1
20030528,-9999,0,0
20030529,-9999,0,0
20030530,-9999,0,0
20030531,-9999,22,2.2
20030601,-9999,39,3.9
20030602,-9999,0,0
20030603,-9999,125,12.5
20030604,-9999,156,15.6
20030605,-9999,9,0.9
20030606,-9999,2,0.2
20030607,-9999,51,5.1
20030608,-9999,9,0.9
20030609,-9999,2,0.2
20030610,-9999,0,0
20030611,-9999,4,0.4
20030612,-9999,22,2.2
20030613,-9999,0,0
20030614,-9999,0,0
20030615,-9999,7,0.7
20030616,-9999,2,0.2
20030617,-9999,7,0.7
20030618,-9999,3,0.3
20030619,-9999,0,0
20030620,-9999,0,0
20030621,-9999,0,0
20030622,-9999,11,1.1
20030623,-9999,15,1.5
20030624,-9999,97,9.7
20030625,-9999,25,2.5
20030626,-9999,13,1.3
20030627,-9999,11,1.1
20030628,-9999,0,0
20030629,-9999,0,0
20030630,-9999,1,0.1
20030701,-9999,0,0
20030702,-9999,0,0
20030703,-9999,5,0.5
20030704,-9999,0,0
20030705,-9999,0,0
20030706,-9999,7,0.7
20030707,-9999,2,0.2
20030708,-9999,1,0.1
20030709,-9999,0,0
20030710,-9999,1,0.1
20030711,-9999,1,0.1
20030712,-9999,0,0
20030713,-9999,15,1.5
20030714,-9999,67,6.7
20030715,-9999,54,5.4
20030716,-9999,0,0
20030717,-9999,0,0
20030718,-9999,0,0
20030719,-9999,0,0
20030720,-9999,5,0.5
20030721,-9999,29,2.9
20030722,-9999,7,0.7
20030723,-9999,0,0
20030724,-9999,0,0
20030725,-9999,0,0
20030726,-9999,0,0
20030727,-9999,95,9.5
20030728,-9999,0,0
20030729,-9999,0,0
20030730,-9999,0,0
20030731,-9999,0,0
20030801,-9999,0,0
20030802,-9999,0,0
20030803,-9999,5,0.5
20030804,-9999,0,0
20030805,-9999,0,0
20030806,-9999,0,0
20030807,-9999,0,0
20030808,-9999,0,0
20030809,-9999,0,0
20030810,-9999,0,0
20030811,-9999,0,0
20030812,-9999,0,0
20030813,-9999,0,0
20030814,-9999,0,0
20030815,-9999,2,0.2
20030816,-9999,64,6.4
20030817,-9999,0,0
20030818,-9999,0,0
20030819,-9999,0,0
20030820,-9999,13,1.3
20030821,-9999,0,0
20030822,-9999,0,0
20030823,-9999,0,0
20030824,-9999,0,0
20030825,-9999,0,0
20030826,-9999,2,0.2
20030827,-9999,0,0
20030828,-9999,34,3.4
20030829,-9999,0,0
20030830,-9999,16,1.6
20030831,-9999,65,6.5
20030901,-9999,29,2.9
20030902,-9999,9,0.9
20030903,-9999,9,0.9
20030904,-9999,0,0
20030905,-9999,3,0.3
20030906,-9999,11,1.1
20030907,-9999,1,0.1
20030908,-9999,92,9.2
20030909,-9999,2,0.2
20030910,-9999,0,0
20030911,-9999,7,0.7
20030912,-9999,12,1.2
20030913,-9999,1,0.1
20030914,-9999,0,0
20030915,-9999,0,0
20030916,-9999,0,0
20030917,-9999,0,0
20030918,-9999,0,0
20030919,-9999,0,0
20030920,-9999,0,0
20030921,-9999,0,0
20030922,-9999,8,0.8
20030923,-9999,37,3.7
20030924,-9999,0,0
20030925,-9999,0,0
20030926,-9999,0,0
20030927,-9999,4,0.4
20030928,-9999,9,0.9
20030929,-9999,7,0.7
20030930,-9999,1,0.1
20031001,-9999,55,5.5
20031002,-9999,139,13.9
20031003,-9999,11,1.1
20031004,-9999,98,9.8
20031005,-9999,164,16.4
20031006,-9999,0,0
20031007,-9999,0,0
20031008,-9999,84,8.4
20031009,-9999,11,1.1
20031010,-9999,1,0.1
20031011,-9999,0,0
20031012,-9999,11,1.1
20031013,-9999,2,0.2
20031014,-9999,10,1
20031015,-9999,0,0
20031016,-9999,20,2
20031017,-9999,2,0.2
20031018,-9999,1,0.1
20031019,-9999,9,0.9
20031020,-9999,46,4.6
20031021,-9999,0,0
20031022,-9999,42,4.2
20031023,-9999,57,5.7
20031024,-9999,47,4.7
20031025,-9999,0,0
20031026,-9999,22,2.2
20031027,-9999,20,2
20031028,-9999,114,11.4
20031029,-9999,119,11.9
20031030,-9999,38,3.8
20031031,-9999,53,5.3
20031101,-9999,149,14.9
20031102,-9999,0,0
20031103,-9999,0,0
