"INDICATIVO","year","month","name_day","P_10mm","day"
"2017Y",2010,7,"P5",0,"05"
"2017Y",2010,7,"P6",0,"06"
"2017Y",2010,7,"P7",0,"07"
"2017Y",2010,7,"P8",0,"08"
"2017Y",2010,7,"P9",0,"09"
"2017Y",2010,7,"P10",0,"010"
"2017Y",2010,7,"P11",0,"011"
"2017Y",2010,7,"P12",0,"012"
"2017Y",2010,7,"P13",0,"013"
"2017Y",2010,7,"P14",NA,"014"
"2017Y",2010,7,"P15",0,"015"
"2017Y",2010,7,"P16",0,"016"
"2017Y",2010,7,"P17",0,"017"
"2017Y",2010,7,"P18",0,"018"
"2017Y",2010,7,"P19",0,"019"
"2017Y",2010,7,"P20",0,"020"
"2017Y",2010,7,"P21",14,"021"
"2017Y",2010,7,"P22",20,"022"
"2017Y",2010,7,"P23",0,"023"
"2017Y",2010,7,"P24",0,"024"
"2017Y",2010,7,"P25",0,"025"
"2017Y",2010,7,"P26",0,"026"
"2017Y",2010,7,"P27",0,"027"
"2017Y",2010,7,"P28",0,"028"
"2017Y",2010,7,"P29",0,"029"
"2017Y",2010,7,"P30",0,"030"
"2017Y",2010,7,"P31",0,"031"
"2017Y",2010,8,"P1",8,"01"
"2017Y",2010,8,"P2",0,"02"
"2017Y",2010,8,"P3",0,"03"
"2017Y",2010,8,"P4",0,"04"
"2017Y",2010,8,"P5",0,"05"
"2017Y",2010,8,"P6",0,"06"
"2017Y",2010,8,"P7",0,"07"
"2017Y",2010,8,"P8",0,"08"
"2017Y",2010,8,"P9",0,"09"
"2017Y",2010,8,"P10",0,"010"
"2017Y",2010,8,"P11",0,"011"
"2017Y",2010,8,"P12",0,"012"
"2017Y",2010,8,"P13",0,"013"
"2017Y",2010,8,"P14",0,"014"
"2017Y",2010,8,"P15",0,"015"
"2017Y",2010,8,"P16",0,"016"
"2017Y",2010,8,"P17",0,"017"
"2017Y",2010,8,"P18",0,"018"
"2017Y",2010,8,"P19",62,"019"
"2017Y",2010,8,"P20",0,"020"
"2017Y",2010,8,"P21",0,"021"
"2017Y",2010,8,"P22",0,"022"
"2017Y",2010,8,"P23",0,"023"
"2017Y",2010,8,"P24",0,"024"
"2017Y",2010,8,"P25",0,"025"
"2017Y",2010,8,"P26",0,"026"
"2017Y",2010,8,"P27",0,"027"
"2017Y",2010,8,"P28",0,"028"
"2017Y",2010,8,"P29",0,"029"
"2017Y",2010,8,"P30",0,"030"
"2017Y",2010,8,"P31",0,"031"
"2017Y",2010,9,"P1",54,"01"
"2017Y",2010,9,"P2",60,"02"
"2017Y",2010,9,"P3",0,"03"
"2017Y",2010,9,"P4",0,"04"
"2017Y",2010,9,"P5",2,"05"
"2017Y",2010,9,"P6",0,"06"
"2017Y",2010,9,"P7",6,"07"
"2017Y",2010,9,"P8",0,"08"
"2017Y",2010,9,"P9",0,"09"
"2017Y",2010,9,"P10",0,"010"
"2017Y",2010,9,"P11",0,"011"
"2017Y",2010,9,"P12",0,"012"
"2017Y",2010,9,"P13",0,"013"
"2017Y",2010,9,"P14",0,"014"
"2017Y",2010,9,"P15",0,"015"
"2017Y",2010,9,"P16",214,"016"
"2017Y",2010,9,"P17",36,"017"
"2017Y",2010,9,"P18",0,"018"
"2017Y",2010,9,"P19",0,"019"
"2017Y",2010,9,"P20",0,"020"
"2017Y",2010,9,"P21",56,"021"
"2017Y",2010,9,"P22",0,"022"
"2017Y",2010,9,"P23",0,"023"
"2017Y",2010,9,"P24",0,"024"
"2017Y",2010,9,"P25",8,"025"
"2017Y",2010,9,"P26",0,"026"
"2017Y",2010,9,"P27",0,"027"
"2017Y",2010,9,"P28",NA,"028"
"2017Y",2010,9,"P29",0,"029"
"2017Y",2010,9,"P30",0,"030"
"2017Y",2010,9,"P31",NA,"031"
"2017Y",2010,10,"P1",0,"01"
"2017Y",2010,10,"P2",0,"02"
"2017Y",2010,10,"P3",148,"03"
"2017Y",2010,10,"P4",0,"04"
"2017Y",2010,10,"P5",0,"05"
"2017Y",2010,10,"P6",0,"06"
"2017Y",2010,10,"P7",70,"07"
"2017Y",2010,10,"P8",10,"08"
"2017Y",2010,10,"P9",238,"09"
"2017Y",2010,10,"P10",30,"010"
"2017Y",2010,10,"P11",0,"011"
"2017Y",2010,10,"P12",0,"012"
"2017Y",2010,10,"P13",0,"013"
"2017Y",2010,10,"P14",0,"014"
"2017Y",2010,10,"P15",0,"015"
"2017Y",2010,10,"P16",0,"016"
"2017Y",2010,10,"P17",0,"017"
"2017Y",2010,10,"P18",0,"018"
"2017Y",2010,10,"P19",0,"019"
"2017Y",2010,10,"P20",0,"020"
"2017Y",2010,10,"P21",0,"021"
"2017Y",2010,10,"P22",0,"022"
"2017Y",2010,10,"P23",0,"023"
"2017Y",2010,10,"P24",30,"024"
"2017Y",2010,10,"P25",2,"025"
"2017Y",2010,10,"P26",0,"026"
"2017Y",2010,10,"P27",0,"027"
"2017Y",2010,10,"P28",0,"028"
"2017Y",2010,10,"P29",130,"029"
"2017Y",2010,10,"P30",208,"030"
"2017Y",2010,10,"P31",104,"031"
"2017Y",2010,11,"P1",28,"01"
"2017Y",2010,11,"P2",0,"02"
"2017Y",2010,11,"P3",0,"03"
"2017Y",2010,11,"P4",0,"04"
"2017Y",2010,11,"P5",0,"05"
"2017Y",2010,11,"P6",4,"06"
"2017Y",2010,11,"P7",22,"07"
"2017Y",2010,11,"P8",58,"08"
"2017Y",2010,11,"P9",44,"09"
"2017Y",2010,11,"P10",8,"010"
"2017Y",2010,11,"P11",0,"011"
"2017Y",2010,11,"P12",0,"012"
"2017Y",2010,11,"P13",0,"013"
"2017Y",2010,11,"P14",46,"014"
"2017Y",2010,11,"P15",2,"015"
"2017Y",2010,11,"P16",4,"016"
"2017Y",2010,11,"P17",20,"017"
"2017Y",2010,11,"P18",2,"018"
"2017Y",2010,11,"P19",214,"019"
"2017Y",2010,11,"P20",10,"020"
"2017Y",2010,11,"P21",10,"021"
"2017Y",2010,11,"P22",8,"022"
"2017Y",2010,11,"P23",0,"023"
"2017Y",2010,11,"P24",0,"024"
"2017Y",2010,11,"P25",0,"025"
"2017Y",2010,11,"P26",2,"026"
"2017Y",2010,11,"P27",0,"027"
"2017Y",2010,11,"P28",0,"028"
"2017Y",2010,11,"P29",0,"029"
"2017Y",2010,11,"P30",50,"030"
"2017Y",2010,11,"P31",NA,"031"
"2017Y",2010,12,"P1",30,"01"
"2017Y",2010,12,"P2",26,"02"
"2017Y",2010,12,"P3",6,"03"
"2017Y",2010,12,"P4",6,"04"
"2017Y",2010,12,"P5",124,"05"
"2017Y",2010,12,"P6",142,"06"
"2017Y",2010,12,"P7",106,"07"
"2017Y",2010,12,"P8",168,"08"
"2017Y",2010,12,"P9",2,"09"
"2017Y",2010,12,"P10",0,"010"
"2017Y",2010,12,"P11",0,"011"
"2017Y",2010,12,"P12",0,"012"
"2017Y",2010,12,"P13",12,"013"
"2017Y",2010,12,"P14",0,"014"
"2017Y",2010,12,"P15",0,"015"
"2017Y",2010,12,"P16",0,"016"
"2017Y",2010,12,"P17",0,"017"
"2017Y",2010,12,"P18",0,"018"
"2017Y",2010,12,"P19",0,"019"
"2017Y",2010,12,"P20",10,"020"
"2017Y",2010,12,"P21",338,"021"
"2017Y",2010,12,"P22",140,"022"
"2017Y",2010,12,"P23",4,"023"
"2017Y",2010,12,"P24",0,"024"
"2017Y",2010,12,"P25",0,"025"
"2017Y",2010,12,"P26",0,"026"
"2017Y",2010,12,"P27",0,"027"
"2017Y",2010,12,"P28",0,"028"
"2017Y",2010,12,"P29",0,"029"
"2017Y",2010,12,"P30",0,"030"
"2017Y",2010,12,"P31",4,"031"
"2017Y",2011,1,"P1",0,"01"
"2017Y",2011,1,"P2",0,"02"
"2017Y",2011,1,"P3",0,"03"
"2017Y",2011,1,"P4",8,"04"
"2017Y",2011,1,"P5",202,"05"
"2017Y",2011,1,"P6",172,"06"
"2017Y",2011,1,"P7",2,"07"
"2017Y",2011,1,"P8",98,"08"
"2017Y",2011,1,"P9",16,"09"
"2017Y",2011,1,"P10",2,"010"
"2017Y",2011,1,"P11",0,"011"
"2017Y",2011,1,"P12",0,"012"
"2017Y",2011,1,"P13",0,"013"
"2017Y",2011,1,"P14",0,"014"
"2017Y",2011,1,"P15",0,"015"
"2017Y",2011,1,"P16",0,"016"
"2017Y",2011,1,"P17",0,"017"
"2017Y",2011,1,"P18",0,"018"
"2017Y",2011,1,"P19",12,"019"
"2017Y",2011,1,"P20",0,"020"
"2017Y",2011,1,"P21",0,"021"
"2017Y",2011,1,"P22",0,"022"
"2017Y",2011,1,"P23",0,"023"
"2017Y",2011,1,"P24",0,"024"
"2017Y",2011,1,"P25",0,"025"
"2017Y",2011,1,"P26",NA,"026"
"2017Y",2011,1,"P27",0,"027"
"2017Y",2011,1,"P28",14,"028"
"2017Y",2011,1,"P29",62,"029"
"2017Y",2011,1,"P30",2,"030"
"2017Y",2011,1,"P31",4,"031"
"2017Y",2011,2,"P1",0,"01"
"2017Y",2011,2,"P2",82,"02"
"2017Y",2011,2,"P3",0,"03"
"2017Y",2011,2,"P4",0,"04"
"2017Y",2011,2,"P5",0,"05"
"2017Y",2011,2,"P6",0,"06"
"2017Y",2011,2,"P7",0,"07"
"2017Y",2011,2,"P8",0,"08"
"2017Y",2011,2,"P9",0,"09"
"2017Y",2011,2,"P10",0,"010"
"2017Y",2011,2,"P11",0,"011"
"2017Y",2011,2,"P12",0,"012"
"2017Y",2011,2,"P13",36,"013"
"2017Y",2011,2,"P14",4,"014"
"2017Y",2011,2,"P15",102,"015"
"2017Y",2011,2,"P16",38,"016"
"2017Y",2011,2,"P17",64,"017"
"2017Y",2011,2,"P18",0,"018"
"2017Y",2011,2,"P19",18,"019"
"2017Y",2011,2,"P20",4,"020"
"2017Y",2011,2,"P21",70,"021"
"2017Y",2011,2,"P22",18,"022"
"2017Y",2011,2,"P23",0,"023"
"2017Y",2011,2,"P24",0,"024"
"2017Y",2011,2,"P25",0,"025"
"2017Y",2011,2,"P26",2,"026"
"2017Y",2011,2,"P27",4,"027"
"2017Y",2011,2,"P28",8,"028"
"2017Y",2011,2,"P29",NA,"029"
"2017Y",2011,2,"P30",NA,"030"
"2017Y",2011,2,"P31",NA,"031"
"2017Y",2011,3,"P1",0,"01"
"2017Y",2011,3,"P2",0,"02"
"2017Y",2011,3,"P3",6,"03"
"2017Y",2011,3,"P4",12,"04"
"2017Y",2011,3,"P5",0,"05"
"2017Y",2011,3,"P6",0,"06"
"2017Y",2011,3,"P7",0,"07"
"2017Y",2011,3,"P8",6,"08"
"2017Y",2011,3,"P9",0,"09"
"2017Y",2011,3,"P10",0,"010"
"2017Y",2011,3,"P11",172,"011"
"2017Y",2011,3,"P12",38,"012"
"2017Y",2011,3,"P13",24,"013"
