"MpNo","DateTime","Epoch","H2O_c","d18O_c","dD_c","H2O_a","d18O_a","dD_a","Dex_c","Dex_a","Dex_WV","E"
2,2018-09-06 18:09:00,1536250140.692,16136.9294688645,-15.4201465201465,-31.5927582417582,12811.2164687457,-16.8046715024031,-105.961116072728,91.7684139194139,28.4762559464963,335.580654042404,1.05228521107255
2,2018-09-05 03:41:00,1536111660.011,11907.7531025641,-17.6330402930403,-139.350615384615,13894.6544963355,-17.3255771551322,-135.83965099934,1.71370695970694,2.76496624171747,9.06529700609376,-0.627426101777331
2,2018-09-04 18:04:00,1536077040.226,19947.6976007326,-15.0245274725275,-100.313860805861,17374.0952881628,-16.1419558274593,-119.087314879078,19.882358974359,10.0483317405963,86.2707537124637,0.81349733194648
2,2018-09-03 22:50:00,1536007800.413,14658.0166483516,-18.2101721611722,-138.523776556777,15738.17000169,-17.2916238786224,-130.512100005199,7.15760073260071,7.8208910237804,16.8219463838856,-0.342111394385787
2,2018-09-04 13:50:00,1536061800.255,23177.7566520147,-14.3909743589744,-107.808941391941,17228.6584351545,-16.2659326122832,-120.575029224143,7.31885347985349,9.55243167412274,0.850384748203612,1.88421110754904
2,2018-09-06 03:46:00,1536198360.662,10555.0676593407,-17.1084322344322,-136.540835164835,12185.0077885847,-16.7608498217251,-123.56267535001,0.326622710622729,10.5241232237906,76.5604799840664,-0.515217286804854
2,2018-09-05 13:23:00,1536146580.356,17880.4722087912,-15.3943406593407,-69.9056263736264,12680.7633757606,-16.5437663847695,-106.018550991455,53.2490989010989,26.331580086701,118.89406051504,1.64196047568561
2,2018-09-08 20:00:00,1536429600.291,15241.9357692308,-18.9177326007326,-115.965882783883,16021.4270138801,-18.682655376402,-118.048551121104,35.375978021978,31.4126918901125,-46.0842050559892,-0.246392781336095
2,2018-09-05 05:27:00,1536118020.684,11001.7409267399,-17.9335604395604,-143.169347985348,13403.2402211692,-17.3591008506503,-134.545989746569,0.299135531135533,4.32681705863382,22.778418857452,-0.758349010479538
2,2018-09-06 04:23:00,1536200580.449,10611.2032783883,-17.1213956043956,-137.38895970696,12194.3522247611,-16.8157692083314,-124.816427620743,-0.417794871794854,9.7097260459081,77.5903783433989,-0.500426760673794
2,2018-09-05 06:04:00,1536120240.47,10578.3919157509,-18.0518864468864,-144.447864468864,13293.2056184375,-17.3219892245928,-132.785092545361,-0.0327728937729148,5.79082125138183,28.4827139454392,-0.857288262143076
2,2018-09-06 06:09:00,1536206940.376,11292.9757948718,-16.8053186813187,-132.098234432234,12243.5797324275,-16.9222369863249,-126.49884723966,2.34431501831503,8.87904865093958,86.5103163363166,-0.3004817240455
2,2018-09-03 16:50:00,1535986200.164,23495.9681465201,-13.880032967033,-105.16878021978,15892.0309194863,-16.3153813667159,-116.636384884911,5.87148351648352,13.8866660488162,-10.8800393888214,2.4083344908345
2,2018-09-08 21:46:00,1536435960.086,13762.2922124542,-19.3992380952381,-133.669553113553,16091.5329406782,-18.8321355292336,-121.666758904734,21.5243516483517,28.9903253291342,73.1029454634076,-0.736260932448273
2,2018-09-05 06:41:00,1536122460.265,10910.058,-18.1019340659341,-144.765600732601,13201.0249438023,-17.2660239571523,-130.474008685417,0.0498717948717911,7.65418297180165,43.8674841784351,-0.72344500712168
2,2018-09-04 22:50:00,1536094200.305,16231.0393882784,-16.6157802197802,-127.308087912088,16143.5346054081,-16.6744320294478,-126.78784128806,5.61815384615385,6.60761494752199,-176.925005586959,0.0276322456725707
2,2018-09-06 07:23:00,1536211380.818,12298.1179592593,-16.1016740740741,-129.714377777778,12337.7304329682,-16.9296988003973,-124.984082918296,-0.900985185185192,10.4535074848826,3535.57772088873,-0.0125213161437082
2,2018-09-06 15:46:00,1536241560.214,17735.7924652015,-14.5963186813187,-57.577967032967,13070.2374131942,-16.7365482015412,-104.764593286639,59.1925824175824,29.12779232569,143.417061584284,1.47622080821793
